Precio_Real_MWh,Precio_Predicho_MWh
65.55,123.57126
90.1,130.73123
97.5,140.51935
91.86,144.4992
81.0,130.23407
66.65,115.37289
61.910000000000004,110.89502
61.03,108.44839
62.01,108.59694
64.0,111.94073
66.62,121.437645
84.0,131.74448
96.98,151.38063
115.0,161.92494
129.01,154.01762
106.76000000000002,149.43643
92.5,140.8486
84.51,131.19469
86.0,123.761
78.93,120.872086
73.73,113.63597
71.69,111.58882
70.94,115.126724
71.69,120.037994
80.19,125.129265
93.18,133.08952
101.49999999999999,140.48212
89.02,143.38954
70.69,124.336464
61.800000000000004,108.84717
59.87,104.60738
58.2,103.81857
58.2,105.752365
60.5,107.88354
64.0,114.62266
88.61,128.47803
94.94000000000001,152.30121
150.41,160.77556
152.17,150.511
103.0,142.73428
88.04,137.01515
74.86,128.78154
64.97,121.777054
60.529999999999994,115.24779
60.0,109.04618
55.36,108.02524
57.26,111.08799
63.290000000000006,113.62566
72.45,118.195946
83.5,129.44345
95.53,140.97676
89.84,140.26521
74.71,124.8377
65.01,110.211945
64.97,104.918205
64.97,102.82589
65.0,102.347786
61.85,106.34377
67.67,113.645546
75.59,130.81807
94.72000000000001,148.14796
113.0,155.44435
135.36,147.82596
103.01,142.6284
80.95,138.92403
73.58,131.39339
63.37,125.42503
65.0,122.23099
63.86000000000001,111.33977
63.86000000000001,106.78318
62.48,109.498245
63.86000000000001,113.754265
69.57,118.29831
80.02,127.21199
115.0,136.52364
77.3,137.95518
66.19,122.26402
62.38999999999999,106.830925
55.78,98.64887
50.7,96.19506
53.61,94.196205
55.52,96.30591
63.38000000000001,105.25346
73.74,121.448265
89.62,141.03986
96.8,145.60677
111.07,139.27455
93.0,132.86108
74.98,127.03724
70.45,119.118286
64.97,114.58398
61.06000000000001,114.16838
59.05,108.84147
55.9,104.72513
55.9,102.138855
57.22,102.06029
59.36,104.45246
66.19,105.5935
78.09,110.74373
73.4,112.933
62.01,101.99068
54.4,84.991234
47.0,75.202934
47.7,70.152855
47.5,69.98828
47.0,72.59927
55.2,78.61187
74.43,94.886055
95.97,124.42355
92.51,139.31227
92.52999999999999,128.40297
89.5,118.24406
75.97,116.9163
72.7,115.003975
62.03,110.3289
58.2,103.03372
52.9,90.92725
47.21000000000001,84.75555
44.0,81.70001
43.2,81.285774
47.04999999999999,80.29117
51.4,79.5184
55.29,81.52485
55.1,82.75018
42.0,70.08957
37.0,55.794666
42.0,47.873486
39.93,45.85278
40.09,48.74605
38.03,53.821472
43.12,65.36829
60.8,82.855804
71.14,109.82455
71.55,123.79832
69.87,115.21329
63.11,106.82012
60.34000000000001,104.32529
55.99999999999999,101.13339
49.97,94.21839
47.26,88.29168
48.12,78.558624
47.96999999999999,77.280556
51.57999999999999,85.18503
60.06,98.16275
80.66,111.796005
88.7,124.24945
99.26,135.83656
88.39,143.30623
78.9,129.41656
71.27,116.23834
70.24,109.21887
73.81,106.55857
78.03,107.69006
78.78,116.682976
82.87,129.59726
89.85999999999999,139.54813
110.0,154.01985
107.52,159.47284
108.49999999999999,152.0195
92.18,146.56544
87.00000000000001,141.0444
80.29,132.47363
71.94,122.75119
68.64,118.85189
69.37,110.76417
65.1,107.7369
64.0,112.055786
69.37,119.62598
79.02,126.35762
91.04,137.97038
95.95000000000002,142.5956
88.7,141.49443
