value,datetime,datetime_utc,tz_time,geo_id,geo_name
165.48,2022-01-02T08:00:00.000+01:00,2022-01-02T07:00:00Z,2022-01-02T07:00:00.000Z,8744,Ceuta
165.48,2022-01-02T08:00:00.000+01:00,2022-01-02T07:00:00Z,2022-01-02T07:00:00.000Z,8743,Baleares
160.64,2022-01-02T09:00:00.000+01:00,2022-01-02T08:00:00Z,2022-01-02T08:00:00.000Z,8741,Península
160.64,2022-01-02T09:00:00.000+01:00,2022-01-02T08:00:00Z,2022-01-02T08:00:00.000Z,8742,Canarias
160.64,2022-01-02T09:00:00.000+01:00,2022-01-02T08:00:00Z,2022-01-02T08:00:00.000Z,8745,Melilla
160.64,2022-01-02T09:00:00.000+01:00,2022-01-02T08:00:00Z,2022-01-02T08:00:00.000Z,8743,Baleares
160.64,2022-01-02T09:00:00.000+01:00,2022-01-02T08:00:00Z,2022-01-02T08:00:00.000Z,8744,Ceuta
153.62,2022-01-02T10:00:00.000+01:00,2022-01-02T09:00:00Z,2022-01-02T09:00:00.000Z,8744,Ceuta
153.62,2022-01-02T10:00:00.000+01:00,2022-01-02T09:00:00Z,2022-01-02T09:00:00.000Z,8743,Baleares
153.62,2022-01-02T10:00:00.000+01:00,2022-01-02T09:00:00Z,2022-01-02T09:00:00.000Z,8742,Canarias
153.62,2022-01-02T10:00:00.000+01:00,2022-01-02T09:00:00Z,2022-01-02T09:00:00.000Z,8741,Península
153.62,2022-01-02T10:00:00.000+01:00,2022-01-02T09:00:00Z,2022-01-02T09:00:00.000Z,8745,Melilla
141.37,2022-01-02T11:00:00.000+01:00,2022-01-02T10:00:00Z,2022-01-02T10:00:00.000Z,8745,Melilla
141.37,2022-01-02T11:00:00.000+01:00,2022-01-02T10:00:00Z,2022-01-02T10:00:00.000Z,8744,Ceuta
141.37,2022-01-02T11:00:00.000+01:00,2022-01-02T10:00:00Z,2022-01-02T10:00:00.000Z,8742,Canarias
141.37,2022-01-02T11:00:00.000+01:00,2022-01-02T10:00:00Z,2022-01-02T10:00:00.000Z,8741,Península
141.37,2022-01-02T11:00:00.000+01:00,2022-01-02T10:00:00Z,2022-01-02T10:00:00.000Z,8743,Baleares
141.13,2022-01-02T12:00:00.000+01:00,2022-01-02T11:00:00Z,2022-01-02T11:00:00.000Z,8743,Baleares
141.13,2022-01-02T12:00:00.000+01:00,2022-01-02T11:00:00Z,2022-01-02T11:00:00.000Z,8742,Canarias
141.13,2022-01-02T12:00:00.000+01:00,2022-01-02T11:00:00Z,2022-01-02T11:00:00.000Z,8745,Melilla
141.13,2022-01-02T12:00:00.000+01:00,2022-01-02T11:00:00Z,2022-01-02T11:00:00.000Z,8741,Península
141.13,2022-01-02T12:00:00.000+01:00,2022-01-02T11:00:00Z,2022-01-02T11:00:00.000Z,8744,Ceuta
147.85,2022-01-02T13:00:00.000+01:00,2022-01-02T12:00:00Z,2022-01-02T12:00:00.000Z,8743,Baleares
147.85,2022-01-02T13:00:00.000+01:00,2022-01-02T12:00:00Z,2022-01-02T12:00:00.000Z,8741,Península
147.85,2022-01-02T13:00:00.000+01:00,2022-01-02T12:00:00Z,2022-01-02T12:00:00.000Z,8742,Canarias
147.85,2022-01-02T13:00:00.000+01:00,2022-01-02T12:00:00Z,2022-01-02T12:00:00.000Z,8744,Ceuta
147.85,2022-01-02T13:00:00.000+01:00,2022-01-02T12:00:00Z,2022-01-02T12:00:00.000Z,8745,Melilla
154.49,2022-01-02T14:00:00.000+01:00,2022-01-02T13:00:00Z,2022-01-02T13:00:00.000Z,8745,Melilla
154.49,2022-01-02T14:00:00.000+01:00,2022-01-02T13:00:00Z,2022-01-02T13:00:00.000Z,8744,Ceuta
154.49,2022-01-02T14:00:00.000+01:00,2022-01-02T13:00:00Z,2022-01-02T13:00:00.000Z,8742,Canarias
154.49,2022-01-02T14:00:00.000+01:00,2022-01-02T13:00:00Z,2022-01-02T13:00:00.000Z,8741,Península
154.49,2022-01-02T14:00:00.000+01:00,2022-01-02T13:00:00Z,2022-01-02T13:00:00.000Z,8743,Baleares
148.14,2022-01-02T15:00:00.000+01:00,2022-01-02T14:00:00Z,2022-01-02T14:00:00.000Z,8741,Península
148.14,2022-01-02T15:00:00.000+01:00,2022-01-02T14:00:00Z,2022-01-02T14:00:00.000Z,8743,Baleares
