datetime,Precio_Real,Prediccion_SARIMAX,Diferencia_SARIMAX,hour,month
2024-01-13 05:00:00,75.0,32.45155253511881,42.54844746488119,5,1
2024-01-13 06:00:00,78.3,40.0706491761124,38.2293508238876,6,1
2024-01-13 07:00:00,85.59,47.396558596001526,38.19344140399848,7,1
2024-01-13 08:00:00,92.71,50.988200721787635,41.72179927821236,8,1
2024-01-13 09:00:00,94.83,53.78626159401867,41.04373840598133,9,1
2024-01-13 10:00:00,90.93,50.30184548917777,40.628154510822235,10,1
2024-01-13 11:00:00,83.39,42.10047041782466,41.28952958217534,11,1
2024-01-13 12:00:00,73.96,39.33711438557791,34.62288561442208,12,1
2024-01-13 13:00:00,71.45,34.15075506694953,37.299244933050474,13,1
2024-01-13 14:00:00,74.51,32.830130893143576,41.67986910685643,14,1
2024-01-13 15:00:00,80.4,36.32075297770794,44.079247022292066,15,1
2024-01-13 16:00:00,91.23,53.1879592628481,38.0420407371519,16,1
2024-01-13 17:00:00,99.3,75.82611192591662,23.473888074083376,17,1
2024-01-13 18:00:00,107.99,87.4211667343855,20.5688332656145,18,1
2024-01-13 19:00:00,103.14,101.44426196069615,1.6957380393038477,19,1
2024-01-13 20:00:00,100.0,97.49505779742609,2.5049422025739148,20,1
2024-01-13 21:00:00,97.61,90.7566794554101,6.853320544589906,21,1
2024-01-13 22:00:00,93.12,76.49951477996949,16.620485220030517,22,1
2024-01-13 23:00:00,90.0,69.17276617223999,20.82723382776001,23,1
2024-01-14 00:00:00,86.1,51.51356758382571,34.58643241617428,0,1
2024-01-14 01:00:00,82.78,42.45853272035733,40.32146727964267,1,1
2024-01-14 02:00:00,78.66,40.717841462552265,37.94215853744773,2,1
2024-01-14 03:00:00,72.53,35.90291465631751,36.62708534368249,3,1
2024-01-14 04:00:00,69.34,32.00332060985631,37.33667939014369,4,1
2024-01-14 05:00:00,69.13,30.66625327479014,38.46374672520986,5,1
2024-01-14 06:00:00,69.71,35.30877545447724,34.40122454552275,6,1
2024-01-14 07:00:00,72.95,39.59491085875601,33.355089141243994,7,1
2024-01-14 08:00:00,77.9,41.926146174235754,35.97385382576425,8,1
2024-01-14 09:00:00,79.45,45.502372423444946,33.94762757655506,9,1
2024-01-14 10:00:00,74.69,44.793294763929325,29.896705236070673,10,1
2024-01-14 11:00:00,69.0,37.89424524074559,31.10575475925441,11,1
2024-01-14 12:00:00,67.8,36.09212446158494,31.70787553841506,12,1
2024-01-14 13:00:00,65.4,32.42414301566528,32.975856984334726,13,1
2024-01-14 14:00:00,63.1,33.30832514585404,29.79167485414596,14,1
2024-01-14 15:00:00,62.3,37.33534613375496,24.964653866245037,15,1
2024-01-14 16:00:00,65.13,52.691274171426166,12.43872582857383,16,1
2024-01-14 17:00:00,72.84,71.83465808642816,1.00534191357184,17,1
2024-01-14 18:00:00,86.18,82.07656691272717,4.103433087272833,18,1
2024-01-14 19:00:00,92.01,95.77197072919111,-3.7619707291911055,19,1
2024-01-14 20:00:00,86.03,91.77474468808339,-5.744744688083387,20,1
2024-01-14 21:00:00,84.49,85.84081304278652,-1.3508130427865268,21,1
2024-01-14 22:00:00,82.97,71.99564364295362,10.974356357046375,22,1
2024-01-14 23:00:00,72.52,65.08480425417955,7.435195745820451,23,1
2024-01-15 00:00:00,77.7,47.63180204117698,30.06819795882302,0,1
2024-01-15 01:00:00,67.0,38.23532207821654,28.76467792178346,1,1
2024-01-15 02:00:00,64.99,36.26901261804943,28.720987381950565,2,1
2024-01-15 03:00:00,62.04,31.6104487073887,30.4295512926113,3,1
2024-01-15 04:00:00,62.1,27.303206582497335,34.79679341750267,4,1
2024-01-15 05:00:00,65.1,26.240661409244822,38.85933859075517,5,1
